round,command,damage,player_hp,boss_hp,winner,note
6,fight,0,11,34,,miss
7,fight,0,11,34,,miss
8,fight,8,11,26,,hit
9,fight,20,4,6,,hit+counter
10,fight,0,4,6,,miss
11,fight,0,4,6,,miss
12,fight,12,4,0,,hit
13,end,0,4,0,player,

1,fight,0,20,50,,miss
2,fight,20,8,30,,hit+counter
3,poison,2,6,30,,1 turns left
3,defend,0,6,30,,cleared 1 poison
4,fight,0,6,30,,miss
5,fight,0,6,30,,miss
6,fight,15,0,15,,hit+counter
7,end,0,0,15,Dragon,

1,fight,15,9,35,,hit+counter
2,fight,18,0,17,,hit+counter
3,end,0,0,17,Dragon,

1,fight,0,20,50,,miss
2,fight,24,8,26,,hit+counter
3,poison,2,6,26,,1 turns left
3,defend,0,6,26,,cleared 1 poison
4,fight,0,6,26,,miss
5,fight,9,6,17,,hit
6,fight,6,6,11,,hit
7,fight,0,6,11,,miss
8,fight,19,6,0,,hit
9,end,0,6,0,player,

1,fight,22,10,28,,hit+counter
2,fight,0,10,28,,miss
3,fight,9,10,19,,hit
4,fight,18,0,1,,hit+counter
5,end,0,0,1,Dragon,

1,fight,0,20,50,,miss
2,fight,6,20,44,,hit
3,fight,0,20,44,,miss
4,fight,19,8,25,,hit+counter
5,poison,2,6,25,,1 turns left
5,defend,0,6,25,,cleared 1 poison
6,fight,0,6,25,,miss
7,fight,0,6,25,,miss
8,fight,21,0,4,,hit+counter
9,end,0,0,4,Dragon,

1,fight,7,20,43,,hit
2,fight,0,20,43,,miss
3,fight,0,20,43,,miss
4,fight,0,20,43,,miss
5,fight,0,20,43,,miss
6,fight,9,20,34,,hit
7,fight,18,9,16,,hit+counter
8,poison,2,7,16,,1 turns left
8,defend,0,7,16,,cleared 1 poison
9,fight,25,7,0,,hit
10,end,0,7,0,player,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,24,8,26,,hit+counter
4,poison,2,6,26,,1 turns left
4,defend,0,6,26,,cleared 1 poison
5,fight,6,6,20,,hit
6,fight,0,6,20,,miss
7,fight,13,0,7,,hit+counter
8,end,0,0,7,Dragon,

1,fight,21,9,29,,hit+counter
2,poison,2,7,29,,1 turns left
2,defend,0,7,29,,cleared 1 poison
3,fight,0,7,29,,miss
4,fight,22,0,7,,hit+counter
5,end,0,0,7,Dragon,

1,fight,7,20,43,,hit
2,fight,0,20,43,,miss
3,fight,0,20,43,,miss
4,fight,0,20,43,,miss
5,fight,0,20,43,,miss
6,fight,0,20,43,,miss
7,fight,0,20,43,,miss
8,fight,20,8,23,,hit+counter
9,poison,2,6,23,,1 turns left
9,defend,0,6,23,,cleared 1 poison
10,fight,0,6,23,,miss
11,fight,19,0,4,,hit+counter
12,end,0,0,4,Dragon,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,7,20,43,,hit
4,fight,22,8,21,,hit+counter
5,fight,0,8,21,,miss
6,fight,16,0,5,,hit+counter
7,end,0,0,5,Dragon,

1,fight,0,20,50,,miss
2,fight,21,12,29,,hit+counter
3,fight,23,2,6,,hit+counter
4,poison,2,0,6,,1 turns left
4,end,0,0,6,Dragon,

1,fight,0,20,50,,miss
2,fight,19,8,31,,hit+counter
3,poison,2,6,31,,1 turns left
3,defend,0,6,31,,cleared 1 poison
4,fight,19,0,12,,hit+counter
5,end,0,0,12,Dragon,

1,fight,0,20,50,,miss
2,fight,13,9,37,,hit+counter
3,poison,2,7,37,,1 turns left
3,defend,0,7,37,,cleared 1 poison
4,fight,0,7,37,,miss
5,fight,0,7,37,,miss
6,fight,0,7,37,,miss
7,fight,0,7,37,,miss
8,fight,0,7,37,,miss
9,fight,11,7,26,,hit
10,fight,0,7,26,,miss
11,fight,0,7,26,,miss
12,fight,19,0,7,,hit+counter
13,end,0,0,7,Dragon,

1,fight,17,12,33,,hit+counter
2,fight,0,12,33,,miss
3,fight,0,12,33,,miss
4,fight,13,0,20,,hit+counter
5,end,0,0,20,Dragon,

1,fight,13,8,37,,hit+counter
2,poison,2,6,37,,1 turns left
2,defend,0,6,37,,cleared 1 poison
3,fight,0,6,37,,miss
4,fight,8,6,29,,hit
5,fight,23,0,6,,hit+counter
6,end,0,0,6,Dragon,

1,fight,0,20,50,,miss
2,fight,8,20,42,,hit
3,fight,14,8,28,,hit+counter
4,fight,0,8,28,,miss
5,fight,0,8,28,,miss
6,fight,18,0,10,,hit+counter
7,end,0,0,10,Dragon,

1,fight,21,10,29,,hit+counter
2,poison,2,8,29,,1 turns left
2,defend,0,8,29,,cleared 1 poison
3,fight,0,8,29,,miss
4,fight,13,1,16,,hit+counter
5,poison,2,0,16,,1 turns left
5,end,0,0,16,Dragon,

1,fight,0,20,50,,miss
2,fight,25,10,25,,hit+counter
3,poison,2,8,25,,1 turns left
3,defend,0,8,25,,cleared 1 poison
4,fight,7,8,18,,hit
5,fight,14,0,4,,hit+counter
6,end,0,0,4,Dragon,

1,fight,8,20,42,,hit
2,fight,0,20,42,,miss
3,fight,20,10,22,,hit+counter
4,poison,2,8,22,,1 turns left
4,defend,0,8,22,,cleared 1 poison
5,fight,20,1,2,,hit+counter
6,poison,2,0,2,,1 turns left
6,end,0,0,2,Dragon,

1,fight,0,20,50,,miss
2,fight,11,20,39,,hit
3,fight,18,11,21,,hit+counter
4,poison,2,9,21,,1 turns left
4,defend,0,9,21,,cleared 1 poison
5,fight,23,9,0,,hit
6,end,0,9,0,player,

1,fight,15,12,35,,hit+counter
2,fight,0,12,35,,miss
3,fight,0,12,35,,miss
4,fight,17,2,18,,hit+counter
5,fight,0,2,18,,miss
6,fight,0,2,18,,miss
7,fight,0,2,18,,miss
8,fight,14,0,4,,hit+counter
9,end,0,0,4,Dragon,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,18,8,32,,hit+counter
4,fight,19,0,13,,hit+counter
5,end,0,0,13,Dragon,

1,fight,0,20,50,,miss
2,fight,23,9,27,,hit+counter
3,fight,0,9,27,,miss
4,fight,0,9,27,,miss
5,fight,11,9,16,,hit
6,fight,0,9,16,,miss
7,fight,0,9,16,,miss
8,fight,0,9,16,,miss
9,fight,16,9,0,,hit
10,end,0,9,0,player,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,12,20,38,,hit
4,fight,17,9,21,,hit+counter
5,poison,2,7,21,,1 turns left
5,defend,0,7,21,,cleared 1 poison
6,fight,0,7,21,,miss
7,fight,0,7,21,,miss
8,fight,22,7,0,,hit
9,end,0,7,0,player,

1,fight,14,13,36,,hit+counter
2,poison,2,11,36,,1 turns left
2,defend,0,11,36,,cleared 1 poison
3,fight,0,11,36,,miss
4,fight,20,4,16,,hit+counter
5,poison,2,2,16,,1 turns left
5,defend,0,2,16,,cleared 1 poison
6,fight,0,2,16,,miss
7,fight,0,2,16,,miss
8,fight,0,2,16,,miss
9,fight,11,2,5,,hit
10,fight,0,2,5,,miss
11,fight,24,2,0,,hit
12,end,0,2,0,player,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,0,20,50,,miss
4,fight,0,20,50,,miss
5,fight,25,11,25,,hit+counter
6,poison,2,9,25,,1 turns left
6,defend,0,9,25,,cleared 1 poison
7,fight,0,9,25,,miss
8,fight,0,9,25,,miss
9,fight,0,9,25,,miss
10,fight,11,9,14,,hit
11,fight,0,9,14,,miss
12,fight,13,2,1,,hit+counter
13,poison,2,0,1,,1 turns left
13,end,0,0,1,Dragon,

1,fight,9,20,41,,hit
2,fight,0,20,41,,miss
3,fight,0,20,41,,miss
4,fight,16,11,25,,hit+counter
5,poison,2,9,25,,1 turns left
5,defend,0,9,25,,cleared 1 poison
6,fight,0,9,25,,miss
7,fight,18,2,7,,hit+counter
8,poison,2,0,7,,1 turns left
8,end,0,0,7,Dragon,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,0,20,50,,miss
4,fight,25,13,25,,hit+counter
5,poison,2,11,25,,1 turns left
5,defend,0,11,25,,cleared 1 poison
6,fight,0,11,25,,miss
7,fight,0,11,25,,miss
8,fight,0,11,25,,miss
9,fight,0,11,25,,miss
10,fight,0,11,25,,miss
11,fight,0,11,25,,miss
12,fight,0,11,25,,miss
13,fight,18,4,7,,hit+counter
14,poison,2,2,7,,1 turns left
14,defend,0,2,7,,cleared 1 poison
15,fight,0,2,7,,miss
16,fight,0,2,7,,miss
17,fight,13,2,0,,hit
18,end,0,2,0,player,

1,fight,8,20,42,,hit
2,fight,24,11,18,,hit+counter
3,fight,0,11,18,,miss
4,fight,0,11,18,,miss
5,fight,12,11,6,,hit
6,fight,0,11,6,,miss
7,fight,0,11,6,,miss
8,fight,0,11,6,,miss
9,fight,8,11,0,,hit
10,end,0,11,0,player,

1,fight,12,20,38,,hit
2,fight,0,20,38,,miss
3,fight,20,10,18,,hit+counter
4,fight,0,10,18,,miss
5,fight,0,10,18,,miss
6,fight,11,10,7,,hit
7,fight,0,10,7,,miss
8,fight,0,10,7,,miss
9,fight,25,10,0,,hit
10,end,0,10,0,player,

1,fight,21,13,29,,hit+counter
2,poison,2,11,29,,1 turns left
2,defend,0,11,29,,cleared 1 poison
3,fight,15,1,14,,hit+counter
4,poison,2,0,14,,1 turns left
4,end,0,0,14,Dragon,

1,fight,7,20,43,,hit
2,fight,13,8,30,,hit+counter
3,fight,23,0,7,,hit+counter
4,end,0,0,7,Dragon,

1,fight,18,10,32,,hit+counter
2,poison,2,8,32,,1 turns left
2,defend,0,8,32,,cleared 1 poison
3,fight,0,8,32,,miss
4,fight,18,0,14,,hit+counter
5,end,0,0,14,Dragon,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,0,20,50,,miss
4,fight,6,20,44,,hit
5,fight,0,20,44,,miss
6,fight,16,9,28,,hit+counter
7,fight,0,9,28,,miss
8,fight,7,9,21,,hit
9,fight,11,9,10,,hit
10,fight,0,9,10,,miss
11,fight,25,9,0,,hit
12,end,0,9,0,player,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,0,20,50,,miss
4,fight,19,9,31,,hit+counter
5,poison,2,7,31,,1 turns left
5,defend,0,7,31,,cleared 1 poison
6,fight,0,7,31,,miss
7,fight,0,7,31,,miss
8,fight,16,0,15,,hit+counter
9,end,0,0,15,Dragon,

1,fight,0,20,50,,miss
2,fight,11,20,39,,hit
3,fight,0,20,39,,miss
4,fight,0,20,39,,miss
5,fight,0,20,39,,miss
6,fight,0,20,39,,miss
7,fight,0,20,39,,miss
8,fight,0,20,39,,miss
9,fight,0,20,39,,miss
10,fight,9,20,30,,hit
11,fight,7,20,23,,hit
12,fight,0,20,23,,miss
13,fight,0,20,23,,miss
14,fight,0,20,23,,miss
15,fight,25,20,0,,hit
16,end,0,20,0,player,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,23,9,27,,hit+counter
4,poison,2,7,27,,1 turns left
4,defend,0,7,27,,cleared 1 poison
5,fight,0,7,27,,miss
6,fight,6,7,21,,hit
7,fight,0,7,21,,miss
8,fight,17,0,4,,hit+counter
9,end,0,0,4,Dragon,

1,fight,21,10,29,,hit+counter
2,poison,2,8,29,,1 turns left
2,defend,0,8,29,,cleared 1 poison
3,fight,7,8,22,,hit
4,fight,0,8,22,,miss
5,fight,0,8,22,,miss
6,fight,13,0,9,,hit+counter
7,end,0,0,9,Dragon,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,0,20,50,,miss
4,fight,0,20,50,,miss
5,fight,0,20,50,,miss
6,fight,0,20,50,,miss
7,fight,7,20,43,,hit
8,fight,0,20,43,,miss
9,fight,12,20,31,,hit
10,fight,0,20,31,,miss
11,fight,25,11,6,,hit+counter
12,fight,0,11,6,,miss
13,fight,0,11,6,,miss
14,fight,7,11,0,,hit
15,end,0,11,0,player,

1,fight,0,20,50,,miss
2,fight,9,20,41,,hit
3,fight,0,20,41,,miss
4,fight,0,20,41,,miss
5,fight,8,20,33,,hit
6,fight,16,12,17,,hit+counter
7,fight,0,12,17,,miss
8,fight,0,12,17,,miss
9,fight,10,12,7,,hit
10,fight,0,12,7,,miss
11,fight,14,12,0,,hit
12,end,0,12,0,player,

1,fight,22,9,28,,hit+counter
2,poison,2,7,28,,1 turns left
2,defend,0,7,28,,cleared 1 poison
3,fight,0,7,28,,miss
4,fight,9,7,19,,hit
5,fight,0,7,19,,miss
6,fight,0,7,19,,miss
7,fight,0,7,19,,miss
8,fight,6,7,13,,hit
9,fight,6,7,7,,hit
10,fight,0,7,7,,miss
11,fight,0,7,7,,miss
12,fight,0,7,7,,miss
13,fight,24,7,0,,hit
14,end,0,7,0,player,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,17,8,33,,hit+counter
4,fight,10,8,23,,hit
5,fight,0,8,23,,miss
6,fight,22,0,1,,hit+counter
7,end,0,0,1,Dragon,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,0,20,50,,miss
4,fight,10,20,40,,hit
5,fight,10,20,30,,hit
6,fight,21,12,9,,hit+counter
7,poison,2,10,9,,1 turns left
7,defend,0,10,9,,cleared 1 poison
8,fight,24,10,0,,hit
9,end,0,10,0,player,

1,fight,21,11,29,,hit+counter
2,poison,2,9,29,,1 turns left
2,defend,0,9,29,,cleared 1 poison
3,fight,0,9,29,,miss
4,fight,11,9,18,,hit
5,fight,0,9,18,,miss
6,fight,24,9,0,,hit
7,end,0,9,0,player,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,0,20,50,,miss
4,fight,0,20,50,,miss
5,fight,0,20,50,,miss
6,fight,0,20,50,,miss
7,fight,0,20,50,,miss
8,fight,12,20,38,,hit
9,fight,10,20,28,,hit
10,fight,14,10,14,,hit+counter
11,fight,0,10,14,,miss
12,fight,0,10,14,,miss
13,fight,0,10,14,,miss
14,fight,6,10,8,,hit
15,fight,22,10,0,,hit
16,end,0,10,0,player,

1,fight,21,13,29,,hit+counter
2,poison,2,11,29,,1 turns left
2,defend,0,11,29,,cleared 1 poison
3,fight,9,11,20,,hit
4,fight,0,11,20,,miss
5,fight,13,3,7,,hit+counter
6,fight,7,3,0,,hit
7,end,0,3,0,player,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,12,20,38,,hit
4,fight,8,20,30,,hit
5,fight,23,11,7,,hit+counter
6,poison,2,9,7,,1 turns left
6,defend,0,9,7,,cleared 1 poison
7,fight,0,9,7,,miss
8,fight,13,9,0,,hit
9,end,0,9,0,player,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,11,20,39,,hit
4,fight,14,11,25,,hit+counter
5,fight,20,2,5,,hit+counter
6,poison,2,0,5,,1 turns left
6,end,0,0,5,Dragon,

1,fight,17,8,33,,hit+counter
2,fight,0,8,33,,miss
3,fight,0,8,33,,miss
4,fight,12,8,21,,hit
5,fight,0,8,21,,miss
6,fight,0,8,21,,miss
7,fight,22,8,0,,hit
8,end,0,8,0,player,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,0,20,50,,miss
4,fight,0,20,50,,miss
5,fight,9,20,41,,hit
6,fight,0,20,41,,miss
7,fight,16,12,25,,hit+counter
8,fight,19,5,6,,hit+counter
9,fight,9,5,0,,hit
10,end,0,5,0,player,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,17,13,33,,hit+counter
4,poison,2,11,33,,1 turns left
4,defend,0,11,33,,cleared 1 poison
5,fight,0,11,33,,miss
6,fight,21,4,12,,hit+counter
7,poison,2,2,12,,1 turns left
7,defend,0,2,12,,cleared 1 poison
8,fight,0,2,12,,miss
9,fight,0,2,12,,miss
10,fight,0,2,12,,miss
11,fight,6,2,6,,hit
12,fight,25,2,0,,hit
13,end,0,2,0,player,

1,fight,16,10,34,,hit+counter
2,fight,8,10,26,,hit
3,fight,21,1,5,,hit+counter
4,poison,2,0,5,,1 turns left
4,end,0,0,5,Dragon,

1,fight,0,20,50,,miss
2,fight,10,20,40,,hit
3,fight,23,10,17,,hit+counter
4,poison,2,8,17,,1 turns left
4,defend,0,8,17,,cleared 1 poison
5,fight,0,8,17,,miss
6,fight,19,8,0,,hit
7,end,0,8,0,player,

1,fight,0,20,50,,miss
2,fight,16,13,34,,hit+counter
3,poison,2,11,34,,1 turns left
3,defend,0,11,34,,cleared 1 poison
4,fight,0,11,34,,miss
5,fight,9,11,25,,hit
6,fight,6,11,19,,hit
7,fight,0,11,19,,miss
8,fight,0,11,19,,miss
9,fight,11,11,8,,hit
10,fight,21,11,0,,hit
11,end,0,11,0,player,

1,fight,11,20,39,,hit
2,fight,13,11,26,,hit+counter
3,fight,0,11,26,,miss
4,fight,19,4,7,,hit+counter
5,poison,2,2,7,,1 turns left
5,defend,0,2,7,,cleared 1 poison
6,fight,23,2,0,,hit
7,end,0,2,0,player,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,19,9,31,,hit+counter
4,poison,2,7,31,,1 turns left
4,defend,0,7,31,,cleared 1 poison
5,fight,0,7,31,,miss
6,fight,17,0,14,,hit+counter
7,end,0,0,14,Dragon,

1,fight,10,20,40,,hit
2,fight,0,20,40,,miss
3,fight,7,20,33,,hit
4,fight,0,20,33,,miss
5,fight,11,20,22,,hit
6,fight,12,20,10,,hit
7,fight,0,20,10,,miss
8,fight,0,20,10,,miss
9,fight,14,20,0,,hit
10,end,0,20,0,player,

1,fight,25,13,25,,hit+counter
2,poison,2,11,25,,1 turns left
2,defend,0,11,25,,cleared 1 poison
3,fight,0,11,25,,miss
4,fight,0,11,25,,miss
5,fight,21,4,4,,hit+counter
6,poison,2,2,4,,1 turns left
6,defend,0,2,4,,cleared 1 poison
7,fight,0,2,4,,miss
8,fight,0,2,4,,miss
9,fight,24,2,0,,hit
10,end,0,2,0,player,

1,fight,0,20,50,,miss
2,fight,15,10,35,,hit+counter
3,fight,0,10,35,,miss
4,fight,0,10,35,,miss
5,fight,0,10,35,,miss
6,fight,0,10,35,,miss
7,fight,15,1,20,,hit+counter
8,fight,0,1,20,,miss
9,fight,13,0,7,,hit+counter
10,end,0,0,7,Dragon,

1,fight,12,20,38,,hit
2,fight,25,13,13,,hit+counter
3,fight,21,13,0,,hit
4,end,0,13,0,player,

1,fight,11,20,39,,hit
2,fight,16,13,23,,hit+counter
3,fight,19,1,4,,hit+counter
4,poison,2,0,4,,1 turns left
4,end,0,0,4,Dragon,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,16,13,34,,hit+counter
4,fight,22,6,12,,hit+counter
5,poison,2,4,12,,1 turns left
5,defend,0,4,12,,cleared 1 poison
6,fight,25,4,0,,hit
7,end,0,4,0,player,

1,fight,15,11,35,,hit+counter
2,fight,25,1,10,,hit+counter
3,fight,0,1,10,,miss
4,fight,18,1,0,,hit
5,end,0,1,0,player,

1,fight,0,20,50,,miss
2,fight,14,13,36,,hit+counter
3,poison,2,11,36,,1 turns left
3,defend,0,11,36,,cleared 1 poison
4,fight,9,11,27,,hit
5,fight,0,11,27,,miss
6,fight,0,11,27,,miss
7,fight,24,0,3,,hit+counter
8,end,0,0,3,Dragon,

1,fight,0,20,50,,miss
2,fight,16,11,34,,hit+counter
3,poison,2,9,34,,1 turns left
